icao,name
BLM,Blue Airways
BLN,Bali International Air Service
BLR,Atlantic Coast Airlines
BLS,Bearskin Lake Air Service
BLT,Baltic Aviation
BLU,IMP Aviation Services
BLV,Bellview Airlines
BLW,Wermlandsflyg AB
BLX,TUIfly Nordic
BLY,Starair
BLZ,Aero Barloz
BMA,bmi
BMD,British Medical Charter
BME,Briggs Marine Environmental Services
BMH,Bristow Masayu Helicopters
BMI,bmibaby
BMJ,Bemidji Airlines
BMK,GST Aero Aircompany
BML,Bismillah Airlines
BMM,Atlas Blue
BMN,Bowman Aviation
BMR,British Midland Regional
BMV,Alatau Airlines
BMW,BMW
BMX,Banco de Mexico
BNB,Aero Banobras
BNC,Sundance Air
BND,Bond Offshore Helicopters
BNE,Benina Air
BNF,Braniff International Airways
BNG,BN Group Limited
BNI,Alberni Airways
BNL,Blue Nile Ethiopia Trading
BNR,Bonair Aviation
BNS,Bancstar - Valley National Corporation
BNT,Bentiu Air Transport
BNV,Benane Aviation Corporation
BNW,British North West Airlines
BNX,LAI - Linea Aerea IAACA
BNZ,Aerolineas Bonanza
BOA,Boniair
BOC,Aerobona
BOD,Bond Air Services
BOE,Boeing
BOF,Bordaire
BOI,Aboitiz Air
BOL,Transportes Aereos Bolivianos
BON,Air Bosna
BOO,Bookajet Limited
BOS,OpenSkies
BOT,Air Botswana
BOU,Bouraq Indonesia Airlines
BOV,Boliviana de Aviacion (OB)
BOX,Tiphook PLC
BPA,Blue Panorama Airlines
BPK,Berkhut ZK
BPO,Bundepolizei-Fliegertruppe
BPS,Budapest Aircraft Services/Manx2
BPT,Bonus Aviation
BPX,British Petroleum Exploration
BQB,Buquebus Líneas Aéreas
BRA,Braathens
BRB,BRA-Transportes Aereos
BRD,Brock Air Services
BRE,Breeze Ltd
BRF,Air Bravo
BRG,Bering Air
BRK,Briansk State Air Enterprise
BRL,Air Brasd'or
BRM,Air 500
BRN,Branson Airlines
BRO,BASE Regional Airlines
BRP,Airport Bratsk
BRQ,El-Buraq Air Transport
BRR,Mountain Air Service
BRS,Brazilian Air Force
BRT,British Regional Airlines
BRU,Belavia Belarusian Airlines
BRV,Bravo Air Congo
BRW,Bright Aviation Services
BRX,Buffalo Express Airlines
BRY,Burundayavia
BRZ,Samara Airlines
BSA,Black Stallion Airways
BSB,Air Wings
BSC,Bistair - Fez
BSD,Blue Star Airlines
BSI,Brasair Transportes Aereos
BSJ,Blue Swann Aviation
BSK,Miami Air International
BSM,Blue Sky Aviation
BSN,Connectair Charters
BSP,Global Airways
BSR,Guine Bissaur Airlines
BSS,Bissau Aero Transporte
BST,Best Air
BSW,Blue Sky Airways
BSX,Bassaka airlines
BSY,Big Sky Airlines
